1982,0,3713,21072,134743,11515,13197,11741,8848,1651,414,1651,81385
1983,0,7903,2269,32900,53508,15345,44539,52673,17923,3291,5505,129139
1984,0,0,241360,4439,36294,149798,22350,38244,34020,14756,4101,58370
1985,0,1633,4901,602992,4463,41822,100376,12644,16172,6200,9224,40976
1986,0,0,0,1548,676208,8727,65147,109747,25712,21179,15271,56824
1987,0,99,493,0,2950,891660,2061,41564,90814,11740,9549,62776
1988,876,27369,6112,2099,4402,18968,941725,12115,39913,67869,9739,76096
1989,0,0,0,20766,18282,5308,14500,1276731,12046,59357,83125,78951
1990,0,20406,45036,138929,61442,33298,10549,20607,1384850,37011,70512,226294
1991,20632,33560,89715,23034,207751,143072,73730,25369,25584,1219646,23987,137131
1992,14887,229703,36331,80552,56275,256085,127048,49020,19053,23449,1103480,152305
1993,46,109152,94500,16738,62714,94711,317337,144610,70717,32693,4822,1309609
1994,3686,60759,911713,115729,53132,44692,38769,221970,106512,40799,42302,998180
1995,2702,165382,470498,424563,215468,59035,90832,35654,245230,119117,99495,1362342
1996,10729,19774,658727,860992,186306,85508,51365,55229,53379,57131,56962,729283
1997,4860,110145,465350,735919,410638,244328,119062,127658,134488,109962,109165,601196
1998,744,91505,184443,488662,360116,219650,157396,122583,81499,68264,50555,389594
1999,14822,97561,83714,176919,265820,254516,212225,187250,147328,77691,35635,252044
2000,637,78856,131112,52716,71779,150869,170393,177995,133290,61578,18010,168770
2001,58685,69430,246525,151708,98454,101344,116951,234829,203820,103964,36075,132701
2002,13707,461055,120106,164977,126329,64449,69828,94429,130285,85325,45798,150103
2003,1843,303721,585700,165666,152117,88944,57445,45596,49476,92758,50503,109994
2004,21246,140241,110564,474108,76046,103036,69858,44001,31636,49210,56216,85205
2005,1260,65136,166760,310481,534401,68609,74394,61650,43463,22298,27127,99882
2006,1901,49396,39439,41585,73860,501168,57299,39424,43667,17148,12274,102329
2007,4583,37208,39743,46218,63337,105042,336626,48066,27637,20155,8801,59268
2008,29912,76393,20561,48083,51962,80005,50716,297470,51663,36966,25998,74120
2009,46167,112136,45340,40649,33197,41396,60607,57000,261341,71430,43302,109659
2010,6806,86942,166353,96959,34735,33202,55992,113009,79366,289800,75419,135455
2011,1094,18864,59027,93167,46347,41372,35607,60798,63676,78422,246442,177090
2012,5350,48100,42654,64222,171285,56012,37917,28132,25608,45490,41255,278872
2013,93473,137210,34571,34042,74935,239987,64187,24328,17881,20190,30125,183268
